"","file","genotype","rep","age","plant","root","order","parentroot","time","bran","apic","x1","y1","z1","x2","y2","z2","diameter1","diameter2","length","blength","orientation","growth","geodesic","magnitude","pathlength"
"9657","shallow-2-1-12","shallow","1",7,1,6,2,1,7,"false","false",606.610535,362.879272,590.551208,554.703247,391.041962,590.551208,4.740892,4.740892,59.0550900054436,59.0551065023041,61.5176221778359,59.0550900054436,186.880599387912,1,6
"9658","shallow-2-1-12","shallow","1",8,1,6,2,1,8,"false","false",554.703247,391.041962,590.551208,512.030212,431.86496,590.551208,4.740892,4.740892,59.0551020811854,118.11020858349,46.2693054613484,118.110262074426,245.935701469098,1,6
"9659","shallow-2-1-12","shallow","1",8,1,6,2,1,8,"false","false",512.030212,431.86496,590.551208,480.464844,481.776276,590.551208,4.740892,4.740892,59.0551599932409,177.16536857673,32.3104509395109,118.110262074426,304.990861462338,1,6
"9660","shallow-2-1-12","shallow","1",9,1,6,2,1,9,"false","false",480.464844,481.776276,590.551208,451.623199,533.309387,590.551208,4.740892,4.740892,59.055076120892,236.220444697622,29.2345226643113,59.055076120892,364.045937583231,1,6
"9661","shallow-2-1-12","shallow","1",10,1,6,2,1,10,"false","false",451.623199,533.309387,590.551208,435.088928,590.002686,590.551208,4.740892,4.740892,59.0551629326755,295.275607630298,16.2590176008601,177.165386284453,423.101100515906,1,6
"9662","shallow-2-1-12","shallow","1",10,1,6,2,1,10,"false","false",435.088928,590.002686,590.551208,430.792786,648.901306,590.551208,4.740892,4.740892,59.0550952415501,354.330702871848,4.1718405300559,177.165386284453,482.156195757456,1,6
"9663","shallow-2-1-12","shallow","1",10,1,6,2,1,10,"false","true",430.792786,648.901306,590.551208,424.051758,707.570435,590.551208,4.740892,4.740892,59.0551281102279,413.385830982076,6.5544886055122,177.165386284453,541.211323867684,1,6
"9664","shallow-2-1-12","shallow","1",6,1,7,2,1,6,"true","false",609.490858205156,383.987883198134,590.551208,609.490845,383.987885,590.551208,4.582105,4.582105,1.33275233291144e-05,1.33275233291144e-05,82.2298786795466,1.33275233291144e-05,149.129724773779,1,7
"9665","shallow-2-1-12","shallow","1",7,1,7,2,1,7,"false","false",609.490845,383.987885,590.551208,668.545898,383.926941,590.551208,4.582105,4.582105,59.0550844466752,59.0550977741985,90.0591284330411,59.0550844466752,208.184809220455,1,7
"9666","shallow-2-1-12","shallow","1",8,1,7,2,1,8,"false","false",668.545898,383.926941,590.551208,726.128479,397.032501,590.551208,4.582105,4.582105,59.0551381129124,118.110235887111,77.1781275653491,177.165460049651,267.239947333367,1,7
