"","FileName","genotype","Time","TRL","GRTR","L1R","GR1R","TNLR","TLRL","N2LR","L2LR","ML2LR","GR2L","D2LR","Height","Width","Magnitude","Altitude","ExtPathLength"
"547","sparse-4-9-12_1","sparse",8,2244.09461419612,413.385907024598,649.606258111149,118.110245339798,10,1594.48835608497,10,1594.48835608497,159.448835608497,295.2756616848,0.0153939403679343,633.315964,205.053528,11,11,76
"548","sparse-4-9-12_1","sparse",9,2952.75596745067,708.661353254549,767.716575823011,118.110317711861,12,2185.03939162766,12,2185.03939162766,182.086615968971,590.551035542687,0.0156307684084269,751.123703,311.373597,13,13,103
"549","sparse-4-9-12_1","sparse",10,3425.19699206768,472.441024617011,885.82685827761,118.110282454599,14,2539.37013379007,14,2539.37013379007,181.383580985005,354.330742162412,0.0158044428989446,869.040879,311.373597,15,15,134
"550","sparse-4-9-12_1","sparse",11,4133.85843483447,708.661442766796,1003.93708430042,118.110226022814,16,3129.92135053405,16,3129.92135053405,195.620084408378,590.551216743982,0.0159372536887103,985.751938,311.373597,17,17,169
"551","sparse-4-9-12_1","sparse",12,5078.74061670818,944.882181873702,1181.10245860099,177.165374300571,16,3897.63815810718,16,3897.63815810718,243.602384881699,767.716807573131,0.0135466655610487,1161.794541,311.373597,17,17,169
"552","steep-1-1-12_1","steep",4,118.110246603577,118.110246603577,118.110246603577,118.110246603577,0,0,0,0,0,0,0,117.921158,4.30401600000005,1,1,1
"553","steep-1-1-12_1","steep",5,236.220519401539,118.110272797962,236.220441926283,118.110195322706,2,7.74752559198526e-05,2,7.74752559198526e-05,3.87376279599263e-05,7.74752559198526e-05,0.00846666776038009,234.829056,14.016358,3,3,8
"554","steep-1-1-12_1","steep",6,590.551335539294,354.330816137755,354.330716515838,118.110274589555,6,236.220619023456,6,236.220619023456,39.370103170576,236.2205415482,0.0169333329579735,352.809067,24.705383,7,7,34
"555","steep-1-1-12_1","steep",7,1299.21280760424,708.661472064948,472.440944149055,118.110227633217,11,826.771863455187,11,826.771863455187,75.1610784959261,590.551244431731,0.0232833333694497,470.297776,91.345947,12,12,89
"556","steep-1-1-12_1","steep",8,2657.48051131268,1358.26770370844,590.551199897939,118.110255748884,16,2066.92931141474,16,2066.92931141474,129.183081963421,1240.15744795955,0.027093332471029,586.724716,127.727173,17,17,169
"557","steep-1-1-12_1","steep",9,3779.52782957866,1122.04731826599,708.661437410193,118.110237512254,21,3070.86639216847,21,3070.86639216847,146.231732960403,1003.93708075373,0.0296333324933619,704.736435,127.727173,22,22,274
"558","steep-1-1-12_1","steep",10,4960.6303080304,1181.10247845173,826.77173644426,118.110299034067,26,4133.85857158614,26,4133.85857158614,158.994560445621,1062.99217941766,0.0314476158943453,822.138535,127.727173,27,27,404
"559","steep-1-1-12_1","steep",11,6791.3389102507,1830.7086022203,944.881818948393,118.110082504133,31,5846.4570913023,31,5846.4570913023,188.59539004201,1712.59851971617,0.0328083357921962,935.892197,195.883423,32,32,559
"560","steep-1-1-12_1","steep",12,9330.70909987216,2539.37018962146,1122.04726680248,177.165447854089,31,8208.66183306968,31,8208.66183306968,264.795543002248,2362.20474176737,0.0276280696163017,1108.10997,280.380096,32,32,559
"561","steep-1-10-12_1","steep",3,118.11029677641,118.11029677641,118.110234528402,118.110234528402,2,6.22480085283569e-05,2,6.22480085283569e-05,3.11240042641784e-05,6.22480085283569e-05,0.0169333335759236,117.75383,5.27734399999997,3,3,8
"562","steep-1-10-12_1","steep",4,354.330858825264,236.220562048854,236.22048616307,118.110251634668,8,118.110372662194,8,118.110372662194,14.7637965827743,118.110310414186,0.033866664699341,234.768326,20.638122,9,9,53
"563","steep-1-10-12_1","steep",5,1299.21285308297,944.881994257704,354.330717134286,118.110230971217,13,944.882135948682,13,944.882135948682,72.6832412268217,826.771763286487,0.0366888880115725,349.899094,68.874939,14,14,118
"564","steep-1-10-12_1","steep",6,2303.14991855059,1003.93706546763,472.440984075388,118.110266941102,18,1830.70893447521,18,1830.70893447521,101.706051915289,885.826798526524,0.0380999968392406,467.871872,85.302368,19,19,208
"565","steep-1-10-12_1","steep",7,4074.80352106611,1771.65360251552,590.551297363107,118.110313287719,22,3484.25222370301,22,3484.25222370301,158.375101077409,1653.5432892278,0.0372533259993383,585.362351,148.514282,23,23,298
"566","steep-1-10-12_1","steep",8,5846.4571609262,1771.65363986009,708.66150183985,118.110204476743,27,5137.79565908636,27,5137.79565908636,190.288728114309,1653.54343538335,0.0380999954560841,702.813645,188.653869,28,28,433
"567","steep-1-10-12_1","steep",9,7440.94579310652,1594.48863218031,826.771763867602,118.110262027752,31,6614.17402923891,31,6614.17402923891,213.360452556094,1476.37837015256,0.0374952330918794,820.397202,238.005585,32,32,559
"568","steep-1-10-12_1","steep",10,9862.20547643083,2421.25968332431,885.826899747569,59.055135879967,36,8976.37857668326,36,8976.37857668326,249.343849352313,2362.20454744434,0.0406399941232975,879.30748,296.3284,37,37,739
"569","steep-1-10-12_1","steep",11,11515.7491619856,1653.5436855548,1003.93701504632,118.110115298749,39,10511.8121469393,39,10511.8121469393,269.533644793316,1535.43357025605,0.0388470585459992,996.663315,300.793915,40,40,859
"570","steep-1-10-12_1","steep",12,13169.2925883708,1653.54342638521,1181.1024422168,177.16542717048,39,11988.190146154,39,11988.190146154,307.389490927027,1476.37799921473,0.033019997763108,1172.545761,300.793915,40,40,859
"571","steep-1-2-12_1","steep",4,118.110257138396,118.110257138396,118.110257138396,118.110257138396,0,0,0,0,0,0,0,117.581436,9.12848539862341,1,1,1
"572","steep-1-2-12_1","steep",5,236.220527273764,118.110270135368,236.2204746262,118.110217487803,2,5.26475642557137e-05,2,5.26475642557137e-05,2.63237821278568e-05,5.26475642557137e-05,0.00846666658834228,235.202072,18.4672303986233,3,3,8
"573","steep-1-2-12_1","steep",6,472.441003492324,236.22047621856,354.330704836556,118.110230210356,5,118.110298655768,5,118.110298655768,23.6220597311535,118.110246008203,0.014111111263435,347.498337,55.0661683986234,6,6,26
"574","steep-1-2-12_1","steep",7,1181.10255767747,708.661554185144,472.440959472773,118.110254636217,8,708.661598204694,8,708.661598204694,88.5826997755868,590.551299548927,0.0169333328103637,463.142258,79.740387,9,9,53
"575","steep-1-2-12_1","steep",8,1830.70898089951,649.606423222042,590.551195761099,118.110236288326,12,1240.15778513841,12,1240.15778513841,103.346482094868,531.496186933716,0.0203199994956144,571.326706,126.044708,13,13,103
"576","steep-1-2-12_1","steep",9,2775.59093832734,944.881957427826,708.661478936163,118.110283175064,15,2066.92945939117,15,2066.92945939117,137.795297292745,826.771674252762,0.021166664826368,687.391098,147.026642,16,16,151
"577","steep-1-2-12_1","steep",10,4370.07908311417,1594.48814478684,826.771687386278,118.110208450115,18,3543.30739572789,18,3543.30739572789,196.850410873772,1476.37793633672,0.0217714276802396,800.915512,189.322387,19,19,208
"578","steep-1-2-12_1","steep",11,5492.12635296968,1122.04726985551,885.826744879085,59.0550574928067,21,4606.2996080906,21,4606.2996080906,219.347600385267,1062.9922123627,0.0237066673832099,859.856064,225.755951,22,22,274
"579","steep-1-2-12_1","steep",12,7086.61450779937,1594.48815482969,1062.99206314694,177.165318267852,21,6023.62244465243,21,6023.62244465243,286.839164031068,1417.32283656183,0.0197555567233781,1036.76207,293.295379,22,22,274
"580","steep-1-3-12_1","steep",3,118.110242267883,118.110242267883,118.110240645251,118.110240645251,2,1.62263239140674e-06,2,1.62263239140674e-06,8.1131619570337e-07,1.62263239140674e-06,0.0169333326989578,117.826462,4.15301499999998,3,3,8
"581","steep-1-3-12_1","steep",4,354.33083017384,236.220587905957,236.220506726096,118.110266080845,6,118.110323447744,6,118.110323447744,19.6850539079574,118.110321825112,0.0253999963134326,235.683914,13.417725,7,7,34
"582","steep-1-3-12_1","steep",5,1181.10262266388,826.771792490037,354.330734016528,118.110227290432,11,826.771888647349,11,826.771888647349,75.1610807861227,708.661565199605,0.0310444422229738,353.384323,43.8486329999999,12,12,89
"583","steep-1-3-12_1","steep",6,1712.59888101432,531.496258350448,472.440973809065,118.110239792537,17,1240.15790720526,17,1240.15790720526,72.9504651297212,413.38601855791,0.0359833311301032,469.045822,49.640625,18,18,188
"584","steep-1-3-12_1","steep",7,3188.9770534577,1476.37817244337,590.551186942745,118.11021313368,19,2598.42586651495,19,2598.42586651495,136.759256132366,1358.26795930969,0.0321733330151482,586.336411,111.536805,20,20,229
"585","steep-1-3-12_1","steep",8,4429.13458257035,1240.15752911265,708.661418893706,118.110231950961,24,3720.47316367664,24,3720.47316367664,155.019715153193,1122.04729716169,0.0338666665915953,700.467697,176.891357,25,25,349
"586","steep-1-3-12_1","steep",9,5551.18206519376,1122.04748262341,767.716599571471,59.0551806777648,28,4783.46546562229,28,4783.46546562229,170.838052343653,1062.99230194564,0.0364717918247817,758.258591,190.039062,29,29,463
"587","steep-1-3-12_1","steep",10,7381.89105915928,1830.70899396553,885.826908214905,118.110308643434,31,6496.06415094438,31,6496.06415094438,209.550456482077,1712.59868532209,0.0349955501605504,872.101914,245.638428,32,32,559
"588","steep-1-3-12_1","steep",11,8562.99370941764,1181.10265025835,1003.937137788,118.110229573098,35,7559.05657162963,35,7559.05657162963,215.973044903704,1062.99242068525,0.034862740586643,987.771469,245.638428,36,36,701
"589","steep-1-3-12_1","steep",12,10925.1980228317,2362.20431341406,1181.1024329475,177.165295159502,35,9744.09558988419,35,9744.09558988419,278.402731139548,2185.03901825456,0.0296333315584285,1164.260483,245.638428,36,36,701
"590","steep-1-4-12_1","steep",3,118.110241198582,118.110241198582,118.110234649675,118.110234649675,1,6.5489075121414e-06,1,6.5489075121414e-06,6.5489075121414e-06,6.5489075121414e-06,0.00846666677926841,116.10463,14.1337954475549,2,2,4
"591","steep-1-4-12_1","steep",4,295.275787505669,177.165546307086,236.220506338994,118.110271689319,7,59.0552811666751,7,59.0552811666751,8.43646873809645,59.0552746177676,0.0296333290808991,232.816849,26.7876654475549,8,8,43
"592","steep-1-4-12_1","steep",5,826.771939391553,531.496151885884,295.275648791574,59.0551424525803,12,531.496290599979,12,531.496290599979,44.2913575499983,472.441009433304,0.0406399919841356,291.634079,55.128052,13,13,103
"593","steep-1-4-12_1","steep",6,1830.70903264317,1003.93709325161,413.38590108436,118.110252292786,14,1417.32313155881,14,1417.32313155881,101.237366539915,885.826840958827,0.0338666605785934,405.615036,108.514527,15,15,134
"594","steep-1-4-12_1","steep",7,3070.8665585455,1240.15752590234,531.496158667373,118.110257583013,20,2539.37039987813,20,2539.37039987813,126.968519993907,1122.04726831932,0.0376296228558759,520.548142,138.689209,21,21,251
"595","steep-1-4-12_1","steep",8,4606.29968168738,1535.43312314188,649.606346835518,118.110188168145,25,3956.69333485186,25,3956.69333485186,158.267733394074,1417.32293497373,0.0384848456635077,636.810898,185.743225,26,26,376
"596","steep-1-4-12_1","steep",9,5964.56762132563,1358.26793963825,708.661496658028,59.0551498225093,29,5255.9061246676,29,5255.9061246676,181.238142229917,1299.21278981574,0.0409222176409484,695.397812,206.137146,30,30,494
"597","steep-1-4-12_1","steep",10,7618.11110644008,1653.54348511445,826.771692624079,118.110195966052,31,6791.339413816,31,6791.339413816,219.075464961807,1535.4332891484,0.0374952363228711,812.64476,255.41333,32,32,559
"598","steep-1-4-12_1","steep",11,9035.43408882143,1417.32298238134,944.881925044713,118.110232420634,35,8090.55216377671,35,8090.55216377671,231.158633250763,1299.21274996071,0.0370416652835684,930.136948,288.218872,36,36,701
"599","steep-1-4-12_1","steep",12,10570.8671959891,1535.43310716765,1122.04723804513,177.165313000414,35,9448.81995794395,35,9448.81995794395,269.966284512684,1358.26779416724,0.0311929826243129,1106.758286,368.735901,36,36,701
"600","steep-1-5-12_1","steep",3,118.110305787222,118.110305787222,118.110242579502,118.110242579502,2,6.32077201595063e-05,2,6.32077201595063e-05,3.16038600797531e-05,6.32077201595063e-05,0.0169333324216464,117.988663,2.2328286159543,3,3,8
"601","steep-1-5-12_1","steep",4,354.330914168485,236.220608381262,236.22043540958,118.110192830078,7,118.110478758904,7,118.110478758904,16.8729255369863,118.110415551184,0.0296333379788365,234.402878,18.2855636159543,8,8,43
"602","steep-1-5-12_1","steep",5,1062.99240769487,708.661493526383,354.330692231045,118.110256821464,11,708.661715463823,11,708.661715463823,64.423792314893,590.551236704919,0.0310444458839805,352.315354,92.14856,12,12,89
"603","steep-1-5-12_1","steep",6,2185.03972584077,1122.04731814591,472.44094407755,118.110251846505,15,1712.59878176323,15,1712.59878176323,114.173252117548,1003.9370662994,0.031750000054055,469.888962,110.883057,16,16,151
"604","steep-1-5-12_1","steep",7,3129.92175470504,944.882028864268,531.496076638838,59.0551325612883,20,2598.4256780662,20,2598.4256780662,129.92128390331,885.826896302979,0.0376296286634499,528.665329,138.195801,21,21,251
"605","steep-1-5-12_1","steep",8,4488.18950302984,1358.2677483248,649.606325185798,118.11024854696,23,3838.58317784405,23,3838.58317784405,166.894920775828,1240.15749977784,0.0354060591904206,646.096054,180.329438,24,24,323
"606","steep-1-5-12_1","steep",9,5846.45747625018,1358.26797322033,767.716573585311,118.110248399512,27,5078.74090266486,27,5078.74090266486,188.101514913514,1240.15772482082,0.03516922902147,762.965073,187.224274,28,28,433
"607","steep-1-5-12_1","steep",10,7440.94587071111,1594.48839446093,885.826753863376,118.110180278065,32,6555.11911684773,32,6555.11911684773,204.847472401492,1476.37821418287,0.0361244451699361,880.833969,251.825226,33,33,593
